RAI-AuditUK v1 Audit Engine- Project Timeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student: Saneesh Morais (23049112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Duration: 01 November 2025 - 15 May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May
Task ,Task Name,Start Date,End Date,Progress,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Literature Review and Requirements,01/11/2025,20/11/2025,100%,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Project Proposal Preparation and Submission,21/11/2025,05/12/2025,100%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RAI-AuditUK v1 System Design and Architecture,06/12/2025,20/12/2025,100%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Development Environment Setup,21/12/2025,05/01/2026,100%,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Core Audit Engine Development,06/01/2026,10/02/2026,100%,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Model Training and Performance Evaluation,11/02/2026,22/02/2026,100%,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Fairness, Explainability and Robustness Audit Testing",23/02/2026,05/03/2026,100%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Dashboard, PDF Report and Traceability Matrix Development",06/03/2026,25/03/2026,100%,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Dissertation Writing, Results Analysis and Final Editing",26/03/2026,30/04/2026,100%,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Presentation and Viva Preparation,01/05/2026,14/05/2026,100%,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Final Presentation Delivery,15/05/2026,15/05/2026,100%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,? Green = Completed Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
